Gene ID	Illumina ID	
150763	0006110035 [Chip: ]; 0103140736 [Chip: ]; 0007100341 [Chip: ]; ILMN_1721765 [Chip: ]	
151531	ILMN_1652037 [Chip: ]; 0005690093 [Chip: ]	
153201	ILMN_1793182 [Chip: ]; 0004540402 [Chip: ]	
1537	ILMN_1815115 [Chip: ]; 0005290161 [Chip: ]	
154091	0006770193 [Chip: ]; ILMN_1766261 [Chip: ]	
1543	-	
1544	ILMN_1674218 [Chip: ]; ILMN_1683607 [Chip: ]; 0000070301 [Chip: ]	
1545	ILMN_1693338 [Chip: ]	
1548	0002450576 [Chip: ]; ILMN_2091632 [Chip: ]; ILMN_1666350 [Chip: ]	
1549	ILMN_2408764 [Chip: ]; 0004610181 [Chip: ]; ILMN_1779051 [Chip: ]	
1551	ILMN_1685043 [Chip: ]; 0004200176 [Chip: ]	
155184	0004210095 [Chip: ]; ILMN_1707370 [Chip: ]; 0105700278 [Chip: ]	
1553	0002100100 [Chip: ]; ILMN_1651636 [Chip: ]; ILMN_2175455 [Chip: ]	
1555	0006200403 [Chip: ]; ILMN_2215965 [Chip: ]; ILMN_1657529 [Chip: ]	
1557	ILMN_1729191 [Chip: ]; 0005050088 [Chip: ]	
1558	ILMN_1769155 [Chip: ]; 0005860341 [Chip: ]	
1559	ILMN_1670652 [Chip: ]	
1562	ILMN_1683121 [Chip: ]	
1565	ILMN_1740648 [Chip: ]; 0006350750 [Chip: ]	
1571	ILMN_1665437 [Chip: ]	
1572	ILMN_1761669 [Chip: ]; 0006290458 [Chip: ]; ILMN_2149815 [Chip: ]	
1573	ILMN_1758731 [Chip: ]; 0000430070 [Chip: ]	
157506	0005290593 [Chip: ]; ILMN_1714335 [Chip: ]	
1576	ILMN_1772206 [Chip: ]; 0007000368 [Chip: ]	
1577	ILMN_1810942 [Chip: ]	
1579	ILMN_2059780 [Chip: ]; ILMN_1726980 [Chip: ]	
158	-	
1580	0000070315 [Chip: ]; ILMN_1659215 [Chip: ]; ILMN_2173291 [Chip: ]	
1581	0002900551 [Chip: ]; ILMN_1749575 [Chip: ]	
1582	0002340494 [Chip: ]; ILMN_1669802 [Chip: ]	
1583	ILMN_1768820 [Chip: ]; 0003990400 [Chip: ]	
1584	ILMN_2358436 [Chip: ]; ILMN_1801917 [Chip: ]; 0001450092 [Chip: ]	
1585	0000360170 [Chip: ]; ILMN_1752099 [Chip: ]	
1586	0000770095 [Chip: ]; ILMN_1760554 [Chip: ]	
1588	ILMN_1699139 [Chip: ]; 0105900086 [Chip: ]; ILMN_1897864 [Chip: ]; 0000070731 [Chip: ]; 0002650039 [Chip: ]; ILMN_1804158 [Chip: ]; ILMN_2387860 [Chip: ]; ILMN_1725234 [Chip: ]	
1589	ILMN_1773082 [Chip: ]; 0005570528 [Chip: ]	
159	ILMN_2092664 [Chip: ]; 0000460603 [Chip: ]; ILMN_1778796 [Chip: ]	
1591	ILMN_1685663 [Chip: ]	
1592	ILMN_1788131 [Chip: ]; ILMN_3279166 [Chip: ]; 0001170309 [Chip: ]; 0002810538 [Chip: ]; 0000580070 [Chip: ]; ILMN_2407314 [Chip: ]; ILMN_1651490 [Chip: ]	
1593	0006130152 [Chip: ]; ILMN_1704985 [Chip: ]	
1594	0000670403 [Chip: ]; ILMN_1740418 [Chip: ]	
1595	ILMN_1664718 [Chip: ]; 0002650053 [Chip: ]	
159963	ILMN_2411317 [Chip: ]; ILMN_1734676 [Chip: ]; ILMN_3307836 [Chip: ]; 0003140154 [Chip: ]	
160287	ILMN_1758812 [Chip: ]; 0004230152 [Chip: ]	
1603	ILMN_1731619 [Chip: ]; 0000460279 [Chip: ]	
160428	ILMN_1736539 [Chip: ]; ILMN_2182980 [Chip: ]; 0006290138 [Chip: ]	
1606	0006980333 [Chip: ]; 0005670088 [Chip: ]; ILMN_1806863 [Chip: ]; ILMN_1747132 [Chip: ]; ILMN_1661454 [Chip: ]; ILMN_1661544 [Chip: ]	
1607	0002370711 [Chip: ]; ILMN_1688475 [Chip: ]; ILMN_1697914 [Chip: ]; ILMN_1810335 [Chip: ]; 0002450050 [Chip: ]; ILMN_1732636 [Chip: ]	
160728	ILMN_1811221 [Chip: ]; 0004920215 [Chip: ]	
1608	ILMN_1741960 [Chip: ]; 0002060338 [Chip: ]	
160851	ILMN_1756650 [Chip: ]; 0004850471 [Chip: ]; 0004780397 [Chip: ]; ILMN_1703719 [Chip: ]	
1609	ILMN_1793017 [Chip: ]	
1610	ILMN_1737152 [Chip: ]; 0004120465 [Chip: ]	
1621	ILMN_1746220 [Chip: ]; 0005890390 [Chip: ]	
1622	0005290021 [Chip: ]	
162417	ILMN_1758597 [Chip: ]; 0006450110 [Chip: ]	
162466	ILMN_1688240 [Chip: ]; 0004780102 [Chip: ]	
1629	ILMN_1714990 [Chip: ]; ILMN_1887403 [Chip: ]; 0106290563 [Chip: ]; 0001400441 [Chip: ]	
1632	0006660433 [Chip: ]; ILMN_1803485 [Chip: ]	
1633	ILMN_1651433 [Chip: ]; 0000430603 [Chip: ]; ILMN_2117240 [Chip: ]	
1635	0003780079 [Chip: ]; ILMN_2415011 [Chip: ]; ILMN_1802456 [Chip: ]	
1636	0005130500 [Chip: ]; 0007040195 [Chip: ]; ILMN_1779984 [Chip: ]; 0006370397 [Chip: ]	
1638	ILMN_1701783 [Chip: ]; 0005890279 [Chip: ]	
1644	ILMN_1811601 [Chip: ]	
