GENE,PPM
9365,nan
9374,nan
9377,71.0
9380,394.0
9388,3.0
9390,nan
9394,0.35
93979,nan
94005,2.0
94033,nan
9415,nan
9420,0.4
9435,nan
9453,6.0
9468,nan
9469,nan
948,6.0
9481,nan
9487,nan
9488,nan
9489,nan
949,nan
9497,nan
9498,nan
95,3.0
9514,nan
9517,nan
952,7.0
953,80.0
9536,4.0
954,nan
955,nan
9550,36.0
9551,68.0
956,0.2
9563,13.0
957,7.0
9583,nan
9588,1438.0
9615,nan
9651,nan
9653,0.46
97,22.0
978,5.0
9789,34.0
9791,2.0
98,26.0
9807,nan
9843,1.0
9869,nan
9942,0.94
9945,nan
9951,nan
9953,nan
9955,nan
9956,nan
9957,nan
9962,nan
9963,nan
9990,nan
AI971036,nan
