REACTION,KCAT [1/hr]
RE2235C,23760
RE2235R,23760
RE2240C,nan
RE2248C,nan
RE2249C,nan
RE2250C_for,nan
RE2251C_for,nan
RE2252C_for,nan
RE2265C,7486.971429
RE2269C_for,178912
RE2269E_for,178912
RE2270C_for,92544.4
RE2270E_for,92544.4
RE2272C_for,7412846.856576
RE2272L_for,7412846.856576
RE2273C_for,92544.4
RE2273E_for,92544.4
RE2292C_for,nan
RE2296C_for,1412546.4
RE2296X_for,1412546.4
RE2304E_for,944500.715493
RE2306C_for,137880
RE2318C_for,1412546.4
RE2318M_for,1412546.4
RE2318R_for,1412546.4
RE2318X_for,1412546.4
RE2319C_for,1412546.4
RE2319M_for,1412546.4
RE2319R_for,1412546.4
RE2319X_for,1412546.4
RE2327C_for,nan
RE2333C_for,nan
RE2334C_for,nan
RE2335C_for,nan
RE2346C_for,nan
RE2349C_for,27612
RE2349M_for,27612
RE2360C_for,nan
RE2360N_for,nan
RE2373C_for,nan
RE2375C_for,nan
RE2377C_for,nan
RE2382C,7412846.856576
RE2382R,7412846.856576
RE2383C,7412846.856576
RE2383R,7412846.856576
RE2384C,nan
RE2386C_for,1935
RE2387C,7412846.856576
RE2387R,7412846.856576
RE2398C,7412846.856576
RE2398R,7412846.856576
RE2404C,7412846.856576
RE2404R,7412846.856576
RE2405C,7412846.856576
RE2405R,7412846.856576
RE2407C_for,nan
RE2410C_for,638.64
RE2410N_for,638.64
RE2426C_for,nan
RE2427M_for,36283.68
RE2428M_for,36283.68
RE2429M_for,36283.68
RE2439C,nan
RE2440C_for,nan
RE2442C_for,nan
RE2443C_for,1412546.4
RE2443M_for,1412546.4
RE2444C_for,nan
RE2445C_for,266717.282927
RE2445E_for,266717.282927
RE2452C_for,nan
RE2453M_for,3456
RE2454M_for,3456
RE2459C_for,17927266.736842
RE2474C,7412846.856576
RE2474R,7412846.856576
RE2476C_for,nan
RE2477C,nan
RE2493C,105.12
RE2513C_for,160200
RE2513E_for,160200
RE2513L_for,160200
RE2513N_for,160200
RE2514C_for,1461720
RE2514E_for,1461720
RE2514L_for,1461720
RE2514N_for,1461720
RE2520C_for,3370.909091
RE2521C_for,3370.909091
RE2522C_for,1412546.4
RE2522X_for,1412546.4
RE2523C_for,1412546.4
RE2523X_for,1412546.4
RE2524C_for,1412546.4
RE2524X_for,1412546.4
RE2525C_for,1412546.4
RE2525X_for,1412546.4
RE2526C_for,3370.909091
RE2533C_for,nan
RE2541C_for,3368.571429
RE2541E_for,3368.571429
RE2541L_for,3368.571429
RE2562C,730.8
RE2563C_for,nan
RE2591C,nan
RE2594C_for,nan
RE2596C_for,nan
RE2601C_for,nan
RE2605C,nan
RE2622C,7412846.856576
RE2622R,7412846.856576
RE2624M_for,112.95
RE2624X_for,112.95
RE2625C_for,nan
RE2625M_for,nan
RE2626C_for,nan
RE2626M_for,nan
RE2632C,nan
RE2632M,nan
RE2633C_for,nan
RE2633R_for,nan
RE2635C_for,759967.953
RE2635R_for,759967.953
RE2636C,nan
RE2636R,nan
RE2637C,759967.953
RE2637X_for,759967.953
RE2638C,759967.953
RE2638X_for,759967.953
RE2640C_for,169920
RE2642C_for,175551.730875
RE2644C_for,135000
RE2649C_for,172645.508571
RE2649M,172645.508571
RE2649X_for,172645.508571
RE2651R_for,nan
RE2655R_for,nan
RE2658C_for,nan
RE2658R_for,nan
RE2659R_for,nan
RE2660C_for,nan
RE2660N_for,84600
RE2666C,nan
RE2666G,nan
RE2675C,nan
RE2677C,7412846.856576
RE2677E,7412846.856576
RE2677G,7412846.856576
RE2677N,7412846.856576
RE2677R,7412846.856576
RE2680C,nan
RE2680G,nan
RE2704C,nan
RE2705C_for,nan
RE2717L_for,7412846.856576
RE2718C,7412846.856576
RE2718G,7412846.856576
RE2722C,7412846.856576
RE2722G,7412846.856576
RE2746C,nan
RE2759X_for,112.95
RE2766C_for,2340
RE2768C,nan
RE2768M,nan
RE2768R,nan
RE2782C_for,nan
RE2799C_for,2524.86
RE2813C_for,1119060
RE2814M_for,nan
RE2814R_for,nan
RE2848C_for,nan
RE2849C_for,nan
RE2850C_for,nan
RE2851C_for,nan
RE2852C_for,nan
RE2853C_for,nan
RE2854C_for,nan
RE2856C,nan
RE2857C,nan
RE2858C,nan
RE2859C,nan
RE2860C,nan
RE2861C,nan
RE2862C,nan
RE2863C,nan
RE2864C_for,nan
RE2865C_for,nan
RE2866C_for,nan
RE2867C_for,nan
RE2868C_for,nan
RE2869C_for,nan
RE2870C_for,nan
RE2871C_for,nan
RE2872C_for,nan
RE2873C_for,nan
RE2874C_for,nan
RE2875C_for,nan
RE2876C_for,nan
RE2877C_for,nan
RE2878C_for,nan
RE2880C_for,nan
RE2888C_for,160200
RE2888E_for,160200
RE2888N_for,160200
RE2897C_for,nan
RE2898C,nan
RE2899C_for,nan
RE2908C_for,4539600
RE2908M_for,4539600
RE2908X_for,4539600
RE2909C_for,4539600
RE2909M_for,4539600
RE2909X_for,4539600
RE2910C_for,4539600
RE2910M_for,4539600
RE2910X_for,4539600
RE2911C,104940
RE2912M_for,104.4
RE2912X_for,104.4
RE2913M_for,3822046.296429
RE2913X_for,3822046.296429
RE2914M_for,3822046.296429
RE2914X_for,3822046.296429
RE2915M_for,3822046.296429
RE2915X_for,3822046.296429
RE2916M_for,3822046.296429
RE2916X_for,3822046.296429
RE2917M_for,3822046.296429
RE2917X_for,3822046.296429
RE2919M_for,5058800
RE2919X_for,5058800
RE2920M_for,5058800
RE2920X_for,5058800
RE2921M_for,5058800
RE2921X_for,5058800
RE2948C_for,nan
RE2954C_for,2466165.6
RE2958C_for,nan
RE2972G_for,9972
RE2972M,9972
RE2972R_for,9972
RE2973C_for,9972
RE2973G_for,9972
RE2973N_for,9972
RE2973R_for,9972
RE2974C_for,9972
RE2974G_for,9972
RE2974N_for,9972
RE2974R_for,9972
RE2975C,nan
RE2975M,nan
RE2977C,104940
RE2985M,24796.302
RE2985X,24796.302
RE2986X_for,5058800
RE2987X_for,4539600
RE2988X_for,3822046.296429
RE2989X_for,3822046.296429
RE2990X_for,5058800
RE2991X_for,4539600
RE2992M_for,338921.617021
RE2992X_for,338921.617021
RE2993X_for,34200
RE2994X,24796.302
RE2995M_for,338921.617021
RE2995X_for,338921.617021
RE2996X_for,34200
RE2997X,24796.302
RE2998M,24796.302
RE2999M_for,338921.617021
RE3000M_for,nan
RE3001M_for,34200
RE3002X_for,338921.617021
RE3003M_for,338921.617021
RE3004M_for,5058800
RE3005M_for,4539600
RE3006M_for,3822046.296429
RE3009C,nan
RE3010C_for,62922.683077
RE3010M_for,62922.683077
RE3010R_for,62922.683077
RE3010X_for,62922.683077
RE3011M_for,2581.2
RE3011R_for,2581.2
RE3012C_for,12600
RE3012M_for,12600
RE3012R_for,12600
RE3013C,23760
RE3013R,23760
RE3014C,1388755.472727
RE3014R,1388755.472727
RE3015C,1388755.472727
RE3015R,1388755.472727
RE3016R_for,nan
RE3017R_for,nan
RE3018C,1388755.472727
RE3018R,1388755.472727
RE3019C,1388755.472727
RE3019R,1388755.472727
RE3020C,1388755.472727
RE3020R,1388755.472727
RE3021C_for,nan
RE3022C_for,nan
RE3033C,293400
RE3033N,293400
RE3033R,293400
RE3036C_for,59040
RE3036N_for,59040
RE3038C_for,38600.64
RE3038N_for,38600.64
RE3038R_for,38600.64
RE3038X_for,38600.64
RE3039C_for,nan
RE3040C_for,38600.64
RE3040R_for,38600.64
RE3040X_for,38600.64
RE3041C,293400
RE3041N,293400
RE3044C,293400
RE3044N,293400
RE3045C_for,32101.796571
RE3050R_for,12960
RE3051C_for,nan
RE3052C,nan
RE3053C,nan
RE3066X,3822046.296429
RE3072X_for,nan
RE3073X_for,4608
RE3074X_for,104.4
RE3075C_for,3822046.296429
RE3075X_for,3822046.296429
RE3076X_for,4608
RE3079C_for,nan
RE3079X_for,nan
RE3081X_for,5058800
RE3082X_for,4539600
RE3083X_for,112.95
RE3084X,24796.302
RE3086X,24796.302
RE3087X_for,5058800
RE3088X_for,4539600
RE3089X,24796.302
RE3090X_for,3822046.296429
RE3092X_for,5058800
RE3093X_for,4539600
RE3095C_for,160200
RE3095L_for,160200
RE3095X_for,160200
RE3097X_for,3822046.296429
RE3103C,nan
RE3103R,nan
RE3104C_for,nan
RE3104R_for,nan
RE3106C_for,nan
RE3106R_for,nan
RE3108C_for,0.612
RE3110C,nan
RE3110R,nan
RE3111C_for,229.5
RE3111M_for,229.5
RE3111R_for,229.5
RE3112C_for,nan
RE3112R_for,nan
RE3113C_for,nan
RE3113R_for,nan
RE3114R_for,104.4
RE3119C_for,nan
RE3119R_for,nan
RE3120C,nan
RE3120R,nan
RE3121C_for,nan
RE3121R_for,nan
RE3122C_for,nan
RE3122R_for,nan
RE3123C_for,nan
RE3123R_for,nan
RE3124C,nan
RE3124R,nan
RE3125C_for,nan
RE3125R_for,nan
RE3126C_for,nan
RE3126R_for,nan
RE3129N_for,nan
RE3132C_for,104.4
RE3132R_for,104.4
RE3134C_for,638.64
RE3134R_for,638.64
RE3136C_for,1522.8
RE3139X_for,3822046.296429
RE3140X_for,5058800
RE3141X_for,4539600
RE3144C,nan
RE3144M,nan
RE3145X,24796.302
RE3146C_for,104.4
RE3146R_for,104.4
RE3147C_for,nan
RE3147R_for,nan
RE3148C,nan
RE3148R,nan
RE3150C_for,nan
RE3150R_for,nan
RE3151C,nan
RE3151R,nan
RE3152C_for,nan
RE3152R_for,nan
RE3153C_for,nan
RE3153R_for,nan
RE3154C_for,nan
RE3154R_for,nan
RE3155C_for,nan
RE3155R_for,nan
RE3156X_for,4539600
RE3157X,24796.302
RE3158X_for,3822046.296429
RE3159X_for,5058800
RE3160C_for,104.4
RE3160R_for,104.4
RE3161C,nan
RE3161R,nan
RE3162C_for,nan
RE3162R_for,nan
RE3163C_for,nan
RE3163R_for,nan
RE3164C_for,nan
RE3164R_for,nan
RE3165C,nan
RE3165R,nan
RE3166C_for,nan
RE3166R_for,nan
RE3167C_for,nan
RE3167R_for,nan
RE3168C_for,nan
RE3168R_for,nan
RE3169C_for,nan
RE3169R_for,nan
RE3170C,nan
RE3170R,nan
RE3171C_for,nan
RE3171R_for,nan
RE3172C_for,nan
RE3172R_for,nan
RE3173C_for,nan
RE3173R_for,nan
RE3174C,nan
RE3174R,nan
RE3175C_for,nan
RE3175R_for,nan
RE3176C_for,nan
RE3176R_for,nan
RE3177M_for,4539600
RE3178M_for,4539600
RE3179M_for,4539600
RE3180C_for,nan
RE3181C,nan
RE3184M_for,3822046.296429
RE3185M_for,3822046.296429
RE3186M_for,3822046.296429
RE3189M_for,3822046.296429
RE3190M_for,3822046.296429
RE3191M_for,3822046.296429
RE3192M_for,5058800
RE3193M_for,5058800
RE3194M_for,5058800
RE3195M_for,112.95
RE3198C_for,nan
RE3201C,1259481.637895
RE3218C_for,23328
RE3218L_for,23328
RE3218R_for,23328
RE3220C_for,23328
RE3220L_for,23328
RE3220R_for,23328
RE3224C,nan
RE3224R,nan
RE3225C,nan
RE3225R,nan
RE3226C,nan
RE3226R,nan
RE3227C_for,nan
RE3227R_for,nan
RE3228C_for,nan
RE3228R_for,nan
RE3229C_for,nan
RE3229R_for,nan
RE3230C_for,nan
RE3230R_for,nan
RE3231C_for,nan
RE3231R_for,nan
RE3232C_for,nan
RE3232R_for,nan
RE3233C,1259481.637895
RE3233G,1259481.637895
RE3233L,1259481.637895
RE3234C_for,nan
RE3234R_for,nan
RE3235C_for,nan
RE3235R_for,nan
RE3236C_for,nan
RE3236R_for,nan
RE3237C_for,nan
RE3238C_for,nan
RE3239C_for,nan
RE3241C,nan
RE3241R,nan
RE3242C_for,nan
RE3242R_for,nan
RE3243C_for,nan
RE3243R_for,nan
RE3244C_for,nan
RE3244R_for,nan
RE3245C_for,nan
RE3247M,24796.302
RE3247X,24796.302
RE3248M_for,5058800
RE3248X_for,5058800
RE3250C_for,4539600
RE3250M_for,4539600
RE3250X_for,4539600
RE3251C,nan
RE3251M,nan
RE3252C_for,nan
RE3258C_for,38600.64
RE3258R_for,38600.64
RE3259C_for,38600.64
RE3259R_for,38600.64
RE3260C,7412846.856576
RE3260R,7412846.856576
RE3261C,7412846.856576
RE3261R,7412846.856576
RE3263C_for,nan
RE3264C,7412846.856576
RE3264R,7412846.856576
RE3265C,7412846.856576
RE3265R,7412846.856576
RE3267E,32101.796571
RE3267G,32101.796571
RE3267M,32101.796571
RE3267N,32101.796571
RE3267R,32101.796571
RE3268C,432
RE3268R_for,432
RE3269C_for,9972
RE3270C_for,nan
RE3272N_for,9972
RE3273C_for,988.2
RE3273G_for,988.2
RE3273R_for,988.2
RE3286C,87127.2
RE3286R,87127.2
RE3287C,87127.2
RE3287R,87127.2
RE3288C,87127.2
RE3288R,87127.2
RE3289C,87127.2
RE3289R,87127.2
RE3295C_for,nan
RE3301C_for,988.2
RE3301G_for,988.2
RE3301R_for,988.2
RE3307C_for,874800
RE3307M_for,874800
RE3307X_for,874800
RE3308C_for,23760
RE3308M_for,23760
RE3308R_for,23760
RE3308X_for,23760
RE3310C_for,87127.2
RE3310R_for,87127.2
RE3326M_for,nan
RE3334M,24796.302
RE3334X,24796.302
RE3335C_for,104.4
RE3335M_for,104.4
RE3335R_for,104.4
RE3335X_for,104.4
RE3336M_for,1388755.472727
RE3336X_for,1388755.472727
RE3337M_for,5058800
RE3337X_for,5058800
RE3338C_for,4539600
RE3338M_for,4539600
RE3338X_for,4539600
RE3339C_for,172645.508571
RE3339M_for,172645.508571
RE3339X_for,172645.508571
RE3340C_for,4539600
RE3340M_for,4539600
RE3340X_for,4539600
RE3341M,24796.302
RE3341X,24796.302
RE3342M_for,1388755.472727
RE3342X_for,1388755.472727
RE3343C_for,172645.508571
RE3343M_for,172645.508571
RE3343X_for,172645.508571
RE3344M_for,5058800
RE3344X_for,5058800
RE3345C_for,104.4
RE3345M_for,104.4
RE3345R_for,104.4
RE3345X_for,104.4
RE3346C_for,23934.386441
RE3346M,23934.386441
RE3346R_for,23934.386441
RE3347C_for,114
RE3352C_for,nan
RE3367C,618827.510204
RE3367E,618827.510204
RE3367X,618827.510204
RE3370C,7412846.856576
RE3370R,7412846.856576
RE3372C_for,1242
RE3378C,nan
RE3381C_for,3368.571429
RE3381E_for,3368.571429
RE3381L_for,3368.571429
RE3383M_for,3822046.296429
RE3384M_for,3822046.296429
RE3385M,24796.302
RE3386M_for,5058800
RE3387M_for,4539600
RE3388M_for,3822046.296429
RE3389M,24796.302
RE3390M_for,5058800
RE3391M_for,34200
RE3392M_for,34200
RE3393M_for,4539600
RE3394M_for,3822046.296429
RE3395M,24796.302
RE3396M_for,3822046.296429
RE3397M,24796.302
RE3398M_for,5058800
RE3399M_for,4539600
RE3400M_for,3822046.296429
RE3401M_for,5058800
RE3402M_for,4539600
RE3403M_for,34200
RE3404M_for,34200
RE3407C,nan
RE3408C_for,nan
RE3409C,nan
RE3410C,nan
RE3411C_for,nan
RE3412C,nan
RE3413C_for,nan
RE3414C_for,nan
RE3415C_for,nan
RE3417C_for,nan
RE3420C_for,nan
RE3421M_for,nan
RE3421R_for,nan
RE3422C_for,nan
RE3423C_for,nan
RE3430C_for,nan
RE3430M_for,nan
RE3430X_for,nan
RE3431C_for,nan
RE3432C_for,644400
RE3432M_for,644400
RE3432X_for,644400
RE3434C,1388755.472727
RE3434R,1388755.472727
RE3435C,1388755.472727
RE3435R,1388755.472727
RE3436C,1388755.472727
RE3436R,1388755.472727
RE3437C_for,nan
RE3440C,7412846.856576
RE3440R,7412846.856576
RE3443M_for,1388755.472727
RE3443X_for,1388755.472727
RE3444C_for,172645.508571
RE3444M_for,172645.508571
RE3444X_for,172645.508571
RE3445M,24796.302
RE3445X,24796.302
RE3446C_for,104.4
RE3446M_for,104.4
RE3446R_for,104.4
RE3446X_for,104.4
RE3447M_for,5058800
RE3447X_for,5058800
RE3448C_for,4539600
RE3448M_for,4539600
RE3448X_for,4539600
RE3449C_for,nan
RE3450C,nan
RE3451C,nan
RE3452C_for,nan
RE3453C_for,nan
RE3454C,nan
RE3455C,nan
RE3456C,nan
RE3457C,nan
RE3458C_for,nan
RE3459C_for,nan
RE3460C,nan
RE3464C,7412846.856576
RE3464R,7412846.856576
RE3469C_for,nan
RE3470C_for,874800
RE3470M_for,874800
RE3470X_for,874800
RE3474C,955723.764706
RE3474R,955723.764706
RE3475C,293400
RE3475N,293400
RE3476C_for,874800
RE3476M_for,874800
RE3476X_for,874800
RE3477C_for,nan
RE3485C,293400
RE3485N,293400
RE3486C_for,nan
RE3488C,1388755.472727
RE3488N,1388755.472727
RE3488R,1388755.472727
RE3488X,1388755.472727
RE3490C_for,nan
RE3491C_for,3103.2
RE3492C_for,nan
RE3493C_for,nan
RE3494C_for,4140000
RE3495C_for,7794
RE3496C_for,128400
RE3496N_for,128400
RE3498N,293400
RE3498R,293400
RE3499C_for,nan
RE3500C_for,38600.64
RE3500R_for,38600.64
RE3500X_for,38600.64
RE3501C_for,38600.64
RE3501R_for,38600.64
RE3501X_for,38600.64
RE3502C_for,874800
RE3502X_for,874800
RE3503C,293400
RE3503N,293400
RE3506C,1388755.472727
RE3506R,1388755.472727
RE3511C,32101.796571
RE3511M,32101.796571
RE3511R,32101.796571
RE3513C,293400
RE3513N,293400
RE3513R,293400
RE3514C,955723.764706
RE3514R,955723.764706
RE3515C_for,nan
RE3518C,955723.764706
RE3518R,955723.764706
RE3519C_for,38600.64
RE3519R_for,38600.64
RE3519X_for,38600.64
RE3520C_for,869806.285714
RE3520E_for,869806.285714
RE3520M_for,869806.285714
RE3520N_for,869806.285714
RE3521C_for,1412546.4
RE3521M_for,1412546.4
RE3521R_for,1412546.4
RE3521X_for,1412546.4
RE3522C,955723.764706
RE3522R,955723.764706
RE3524R_for,nan
RE3525C,47160
RE3525M,47160
RE3525N,47160
RE3525R,47160
RE3525X,47160
RE3526C,47160
RE3526M,47160
RE3526X,47160
RE3532C_for,1412546.4
RE3532M_for,1412546.4
RE3532R_for,1412546.4
RE3533C_for,1412546.4
RE3533M_for,1412546.4
RE3533R_for,1412546.4
RE3534C_for,1412546.4
RE3534M_for,1412546.4
RE3534R_for,1412546.4
RE3535R_for,nan
RE3536C_for,2524.86
RE3537C_for,2524.86
RE3550X,1388755.472727
RE3551X_for,2581.2
RE3552X_for,12600
RE3554C_for,1412546.4
RE3554M_for,1412546.4
RE3554R_for,1412546.4
RE3556C_for,nan
RE3557C_for,1412546.4
RE3557M_for,1412546.4
RE3557R_for,1412546.4
RE3559M_for,1388755.472727
RE3559X_for,1388755.472727
RE3560C_for,172645.508571
RE3560M_for,172645.508571
RE3560X_for,172645.508571
RE3561M,24796.302
RE3561X,24796.302
RE3562C_for,104.4
RE3562M_for,104.4
RE3562R_for,104.4
RE3562X_for,104.4
RE3563M_for,5058800
RE3563X_for,5058800
RE3564C_for,4539600
RE3564M_for,4539600
RE3564X_for,4539600
RE3565C_for,1388755.472727
RE3566C_for,nan
RE3567C_for,1388755.472727
RE3568C_for,nan
RE3570C_for,nan
RE3571C,1388755.472727
RE3571R,1388755.472727
RE3572X_for,680.4
RE3573X_for,680.4
RE3574X_for,172645.508571
RE3575X_for,1388755.472727
RE3576X,24796.302
RE3577X_for,104.4
RE3578X_for,5058800
RE3580X,24796.302
RE3581X_for,34200
RE3582X_for,338921.617021
RE3583X_for,5058800
RE3586X_for,172645.508571
RE3587C_for,166800
RE3587N_for,166800
RE3596C_for,644400
RE3596M_for,644400
RE3596X_for,644400
RE3597C_for,644400
RE3597M_for,644400
RE3597X_for,644400
RE3624M,24796.302
RE3624X,24796.302
RE3626M,24796.302
RE3627C_for,1387465.875
RE3627M_for,1387465.875
RE3627X_for,1387465.875
RE3628M_for,338921.617021
RE3629C,nan
RE3630C_for,nan
RE3631C_for,nan
RE3633C_for,nan
RE3636C_for,nan
RE3637C,nan
RN0001C,1554.171429
RN0001R,1554.171429
RN0002N,29988
RN0002R,29988
RN0013C,10066.08
RN0014R,10066.08
RN0020C,23760
RN0020R,23760
RN0021C,38600.64
RN0021R,38600.64
RN0021X,38600.64
RN0022C,38600.64
RN0022R,38600.64
RN0022X,38600.64
RN0023C,38600.64
RN0023R,38600.64
RN0023X,38600.64
RN0027C,23760
RN0027R,23760
RN0028C,38600.64
RN0028R,38600.64
RN0028X,38600.64
RN0029C,23760
RN0029R,23760
RN0030C,23760
RN0030R,23760
RN0031C,38600.64
RN0031R,38600.64
RN0031X,38600.64
RN0032C,23760
RN0032R,23760
EX_prostgh2(e)_for,nan
EX_prostgi2(e)_for,nan
EX_ppi(e)_for,nan
EX_cdp(e)_for,nan
EX_dtdp(e)_for,nan
EX_HC00955(e)_for,nan
EX_HC00001(e)_for,nan
EX_HC00002(e)_for,nan
EX_HC00003(e)_for,nan
EX_HC00004(e)_for,nan
EX_citr_L(e)_for,nan
EX_HC01787(e)_for,nan
EX_C02470(e)_for,nan
EX_HC01852(e)_for,nan
EX_HC01939(e)_for,nan
EX_HC01942(e)_for,nan
EX_HC01943(e)_for,nan
EX_HC01944(e)_for,nan
EX_HC00822(e)_for,nan
EX_C02528(e)_for,nan
EX_HC02192(e)_for,nan
EX_HC02193(e)_for,nan
EX_HC02195(e)_for,nan
EX_HC02196(e)_for,nan
EX_HC02220(e)_for,nan
EX_HC02154(e)_for,nan
EX_HC02175(e)_for,nan
EX_HC02176(e)_for,nan
EX_HC02199(e)_for,nan
EX_HC02200(e)_for,nan
EX_HC02201(e)_for,nan
EX_HC02172(e)_for,nan
EX_HC02191(e)_for,nan
EX_HC02194(e)_for,nan
EX_HC02197(e)_for,nan
EX_HC02198(e)_for,nan
EX_HC02187(e)_for,nan
EX_HC02180(e)_for,nan
EX_HC02179(e)_for,nan
EX_HC02202(e)_for,nan
EX_HC02203(e)_for,nan
EX_HC02204(e)_for,nan
EX_HC02205(e)_for,nan
EX_HC02206(e)_for,nan
EX_HC02207(e)_for,nan
EX_HC02208(e)_for,nan
EX_HC02210(e)_for,nan
EX_HC02213(e)_for,nan
EX_HC02214(e)_for,nan
EX_HC02216(e)_for,nan
EX_HC02217(e)_for,nan
EX_malcoa(e)_for,nan
EX_arachcoa(e)_for,nan
EX_coa(e)_for,nan
EX_CE2250(e)_for,nan
EX_CE1935(e)_for,nan
EX_CE1940(e)_for,nan
EX_CE1943(e)_for,nan
EX_CE2011(e)_for,nan
EX_CE1936(e)_for,nan
EX_CE1939(e)_for,nan
EX_maltttr(e)_for,nan
EX_maltpt(e)_for,nan
EX_malthx(e)_for,nan
EX_CE2915(e)_for,nan
EX_CE4722(e)_for,nan
EX_CE2916(e)_for,nan
EX_CE4723(e)_for,nan
EX_CE2917(e)_for,nan
EX_CE4724(e)_for,nan
EX_malthp(e)_for,nan
EX_CE2839(e)_for,nan
EX_CE2838(e)_for,nan
EX_CE1950(e)_for,nan
EX_cynt(e)_for,nan
EX_23cump(e)_for,nan
EX_3ump(e)_for,nan
EX_CE5786(e)_for,nan
EX_CE5788(e)_for,nan
EX_CE5789(e)_for,nan
EX_CE5797(e)_for,nan
EX_CE5798(e)_for,nan
EX_CE5787(e)_for,nan
EX_CE5791(e)_for,nan
EX_CE5867(e)_for,nan
EX_CE5868(e)_for,nan
EX_CE5869(e)_for,nan
EX_CE4633(e)_for,nan
EX_CE4881(e)_for,nan
EX_CE5854(e)_for,nan
EX_glcur(e)_for,nan
EX_CE1926(e)_for,nan
EX_udpgal(e)_for,nan
EX_crm_hs(e)_for,nan
EX_galside_hs(e)_for,nan
EX_CE0074(e)_for,nan
EX_cdpea(e)_for,nan
EX_12dgr120(e)_for,nan
EX_CE5853(e)_for,nan
EX_CE1925(e)_for,nan
EX_C05965(e)_for,nan
EX_C04849(e)_for,nan
CITt4_4_for,nan
GLYt7_311_r_for,nan
HCO3_NAt_for,nan
INSTt4_2_for,nan
PIt8_for,nan
PIt9_for,nan
PROt4_2_r_for,nan
HSD17B3r,13680
CYOOm3,nan
biomass_reaction,nan
2MB2COAc_for,nan
3HBCOARc_for,nan
ADPACDAc,nan
ADPACTD_for,nan
ADPCOACROT_for,nan
ADPCOAPTE,nan
BCRNe,nan
C100CPT1_for,nan
sink_c101coa(c)_for,nan
C101CPT1_for,nan
C101CRNe,nan
C102CPT1_for,nan
C10CRNe,nan
C10DCCACT_for,nan
C10DCc_for,nan
C10DCe,nan
C10OHc_for,nan
C120CPT1_for,nan
C121CPT1_for,nan
C12DCACOT,nan
C12DCACT,nan
C12DCTD_for,nan
C12DCe,nan
C12OHc_for,nan
C140CPT1_for,nan
C141ACBP_for,nan
C141CPT1_for,nan
C141OHc_for,nan
C141OHe,nan
C142ACBP_for,nan
C142CPT1_for,nan
C142OHc_for,nan
C142OHe,nan
C14OHc_for,nan
C161OHc_for,nan
C162ACBP_for,nan
C162OHc_for,nan
C162OHe,nan
C16DCc_for,nan
C16DCe,nan
C16OHc_for,nan
C16txc,nan
C181OHc_for,nan
C182OHc_for,nan
C18OHc_for,nan
C2tcx_for,nan
C30CPT1,nan
C3DCe,nan
C40CPT1_for,nan
C4CRNCPT2_for,nan
C4CRNe,nan
C4DCCACT_for,nan
C4DCe,nan
C4OHc_for,nan
C4tcx_for,nan
C4tmc_for,nan
C4x_for,nan
C50CPT1_for,nan
C51CPT1_for,nan
C5DCe,nan
C60CPT1_for,nan
C6COAt_for,nan
C6CRNe,nan
C6CRNtcx_for,nan
C6DCCACT_for,nan
C6DCc_for,nan
C6DCe,nan
C80CPT1_for,nan
sink_c81coa(c)_for,nan
C81CPT1_for,nan
C81CRNe,nan
C8CRNe,nan
C8DCc_for,nan
C8DCe,nan
C9BRxtc_for,nan
DCATDc_for,nan
DCATDr_for,nan
DCSPTN1COAtxc,nan
sink_dd2coa(c)_for,nan
DDCRNe,nan
DDECCRNe,nan
DDECE1CRNe,nan
DECCRNe,nan
sink_decdicoa(c)_for,nan
DECDICRNe,nan
DOCO13ECOAtxc,nan
DOCO13EFATP,nan
DOCOSACT,nan
DOCOSACTDe_for,nan
DOCOSACTDr_for,nan
DOCOSADIACTD_for,nan
DOCOSCOAtxc,nan
DOCOSDIACTD_for,nan
EX_3bcrn_for,nan
EX_3ddcrn_for,nan
EX_3deccrn_for,nan
EX_3hdececrn_for,nan
EX_3hexdcrn_for,nan
EX_3ivcrn_for,nan
EX_3octdec2crn_for,nan
EX_3octdeccrn_for,nan
EX_3octdece1crn_for,nan
EX_3tdcrn_for,nan
EX_3tetd7ecoacrn_for,nan
EX_3thexddcoacrn_for,nan
EX_3ttetddcoacrn_for,nan
EX_c101crn_for,nan
EX_c10crn_for,nan
EX_c10dc_for,nan
EX_c12dc_for,nan
EX_c16dc_for,nan
EX_c3dc_for,nan
EX_c4crn_for,nan
EX_c4dc_for,nan
EX_c51crn_for,nan
EX_c5dc_for,nan
EX_c6crn_for,nan
EX_c6dc_for,nan
EX_c81crn_for,nan
EX_c8crn_for,nan
EX_c8dc_for,nan
EX_ddece1crn_for,nan
EX_ddecrn_for,nan
EX_decdicrn_for,nan
EX_doco13ac_for,nan
EX_docosac_for,nan
EX_docosdiac_for,nan
EX_ivcrn_for,nan
EX_tdcrn_for,nan
EX_tetdec2crn_for,nan
EX_tetdece1crn_for,nan
EX_dca(e)_for,nan
FAOXC101C102m,nan
FAOXC101C102x,nan
FAOXC101C8m,nan
FAOXC101C8x,nan
FAOXC101m,nan
FAOXC101x,nan
FAOXC102C101m,nan
FAOXC102C101x,nan
FAOXC102C103m,nan
FAOXC102C103x,nan
FAOXC102C81m,nan
FAOXC102C81x,nan
FAOXC102m,nan
FAOXC102x,nan
FAOXC103C102m,nan
FAOXC103C102x,nan
FAOXC10C10OHm,nan
FAOXC10C8m,nan
FAOXC10C8x,nan
FAOXC10DCC8DCx,nan
FAOXC11BRC9BRx,nan
FAOXC11C9m,nan
