ec,value,chebi,kegg,pubchem,hmdb
1.4.3.4,867.5999999999999,17963,C04599,1388,
1.4.3.4,19080.0,15760,C00483,5610,HMDB00306
1.4.3.4,3888.000000000001,73472,,9692,HMDB12246
1.4.3.4,5760.0,73472,,9692,HMDB12246
1.4.3.4,6840.0,73472,,9692,HMDB12246
1.4.3.4,6840.0,73472,,9692,HMDB12246
1.4.3.4,7488.000000000001,73472,,9692,HMDB12246
1.4.3.4,7488.000000000001,73472,,9692,HMDB12246
1.4.3.4,7920.0,73472,,9692,HMDB12246
1.4.3.4,9000.0,73472,,9692,HMDB12246
1.4.3.4,6660.0,,,95153,
3.1.2.6,658800.0,,,,
3.1.2.6,676800.0,,,193846,
3.1.2.6,2718000.0,,,193846,
3.1.2.6,5364000.0,,,,
3.1.2.6,1008000.0,15694,C03451,440018,HMDB01066
3.1.2.6,2617200.0,15694,C03451,440018,HMDB01066
3.1.2.6,6264000.0,17491,,20841668,
3.7.1.3,12600.0,1547,C02794,25244175;89,HMDB00732
3.7.1.3,12600.0,17380;58125,C03227,11811;49791998,HMDB11631
3.7.1.3,828.0,16946;57959,C00328,161166;6971029,HMDB00684
1.14.16.4,9612.0,16828;57912,C00078;D00020,6305;6923516,HMDB00929
1.14.16.4,18108.0,16828;57912,C00078;D00020,6305;6923516,HMDB00929
1.14.16.4,4978.8,15379;27140,C00007;D00003,977,HMDB01377
1.14.16.4,24228.0,15379;27140,C00007;D00003,977,HMDB01377
1.14.16.4,7801.199999999999,59560,C00272;D08505,44257,
1.14.16.4,16441.199999999997,59560,C00272;D08505,44257,
1.14.16.2,10907.999999999998,17895;58315,C00082;D00022,6057;6942100,HMDB00158
1.14.16.2,11988.0,17895;58315,C00082;D00022,6057;6942100,HMDB00158
1.14.16.2,61.2,59560,C00272;D08505,44257,
1.14.16.2,1692.0,59560,C00272;D08505,44257,
1.14.16.2,2088.0,59560,C00272;D08505,44257,
1.14.16.1,23508.0,17295;58095,C00079;D00021,6140;6925665,HMDB00159
2.4.2.10,86.39999999999999,25722,,92751,HMDB00788
